Fecha de Scraping,Título,Descripción
2024-06-23 18:33:36,"Casa en Venta, San Lucas   Envigado, Envigado",$700.000.000 | 141.05 m² | 3 | 4
2024-06-23 18:33:36,"Casa en Venta, COUNTRY SUR, Bogotá D.C.",$700.000.000 | 141.05 m² | 3 | 4
2024-06-23 18:33:36,"Casa en Venta, Sector Carmen de Apicalá, Carmen De Apicala",
2024-06-23 18:33:36,"Casa en Venta, Sector Guamo Tolima, Guamo",$1.150.000.000 | 267 m² | 4 | 2
2024-06-23 18:33:36,"Casa en Venta, Sector Melgar Tolima, Melgar",$1.150.000.000 | 267 m² | 4 | 2
2024-06-23 18:33:36,"Casa en Venta, Villa De Leyva",
2024-06-23 18:33:36,"Casa en Venta, altos de manare, Yopal",$750.000.000 | 300 m² | 5 | 5
2024-06-23 18:33:36,"Casa en Venta, Sopo (Incluye Yerbabuena)",$750.000.000 | 300 m² | 5 | 5
2024-06-23 18:33:36,"Casa en Venta, NIZA ANTIGUA, Bogotá D.C.",
2024-06-23 18:33:36,"Casa en Venta, Villa De Leyva",$240.000.000 | 96 m² | 3 | 3
2024-06-23 18:33:36,"Casa en Venta, ENVIGADO, Envigado",$240.000.000 | 96 m² | 3 | 3
2024-06-23 18:33:36,"Casa en Venta, Ricaurte",
2024-06-23 18:33:36,"Casa en Venta, VILLA SANTOS, Barranquilla",$510.000.000 | 104 m² | 3 | 2
2024-06-23 18:33:36,"Casa en Venta, ENVIGADO, Envigado",$510.000.000 | 104 m² | 3 | 2
2024-06-23 18:33:36,"Casa en Venta, SAN JOSE DE BAVARIA, Bogotá D.C.",
2024-06-23 18:33:36,"Casa en Venta, BALCON DE LINDARAJA, Bogotá D.C.",$398.000.000 | 93 m² | 2 | 3
2024-06-23 18:33:36,"Casa en Venta, LA SAMARIA, Ibagué",$398.000.000 | 93 m² | 2 | 3
2024-06-23 18:33:36,"Casa en Venta, Chia, Chía",
2024-06-23 18:33:36,"Casa en Venta, HACIENDA SAN SIMON, Bogotá D.C.",$1.500.000.000 | 240 m² | 3 | 3
