Fecha de Scraping,Título,Descripción
2024-06-23 17:39:49,"Casa en Arriendo, Santa Cecilia 5, Chía",125 | 5 | 3
2024-06-23 17:39:49,"Casa en Arriendo, Guaymaral, Bogotá D.C.",45 | 2 | 2
2024-06-23 17:39:49,"Casa en Arriendo, El Porvenir, Barranquilla",86 | 3 | 2
2024-06-23 17:39:49,"Casa en Arriendo, PROVENZA, Bucaramanga",$6.300.000 | 295 m² | 3 | 5
2024-06-23 17:39:49,"Casa en Arriendo, La Cumbre, Barranquilla",$6.300.000 | 295 m² | 3 | 5
2024-06-23 17:39:49,"Apartamento en Arriendo, SANTA PAULA MOLINOS NORTE, Bog…",
2024-06-23 17:39:49,"Casa en Arriendo, ALTOS DEL POBLADO, Medellín",$16.500.000 | 330 m² | 3 | 4
2024-06-23 17:39:49,"Apartamento en Arriendo, Avenida Centenario, Armenia",$16.500.000 | 330 m² | 3 | 4
2024-06-23 17:39:49,"Casa en Arriendo, PONTEVEDRA, Bogotá D.C.",
2024-06-23 17:39:49,"Casa en Arriendo, SANTA BARBARA, Bogotá D.C.",$6.400.000 | 293 m² | 4 | 4
2024-06-23 17:39:49,"Casa en Arriendo, ENVIGADO, Envigado",$6.400.000 | 293 m² | 4 | 4
2024-06-23 17:39:49,"Casa en Arriendo, San Lucas   el Poblado, Envigado",
2024-06-23 17:39:49,"Casa en Arriendo, San Lucas, Envigado",$1.150.000 | 110 m² | 3 | 2
2024-06-23 17:39:49,"Casa en Arriendo, BARRIO CRISTOBAL, Medellín",$1.150.000 | 110 m² | 3 | 2
2024-06-23 17:39:49,"Casa en Arriendo, LA HACIENDA SUR, Cali",
2024-06-23 17:39:49,"Casa en Arriendo, EL ESTADIO, Medellín",$3.800.000 | 286 m² | 3 | 2
2024-06-23 17:39:49,"Casa en Arriendo, LA COLA DEL ZORRO, Medellín",$3.800.000 | 286 m² | 3 | 2
2024-06-23 17:39:49,"Casa en Arriendo, BELLA SUIZA ALTA, Bogotá D.C.",
2024-06-23 17:39:49,"Casa en Arriendo, QUINTA CAMACHO, Bogotá D.C.",$7.200.000 | 132 m² | 3 | 3
2024-06-23 17:39:49,"Casa en Arriendo, RIONEGRO, Rionegro",$7.200.000 | 132 m² | 3 | 3
2024-06-23 17:39:49,"Casa en Arriendo, EL POBLADO, Medellín",
2024-06-23 17:39:49,"Casa en Arriendo, Cajicá",$9.500.000 | 346 m² | 4 | 5
2024-06-23 17:39:49,"Casa en Arriendo, ENVIGADO, Envigado",$9.500.000 | 346 m² | 4 | 5
2024-06-23 17:39:49,"Casa en Arriendo, Canelón Cajicá, Cajicá",
2024-06-23 17:39:49,"Casa en Arriendo, ENVIGADO, Envigado",$3.000.000 | 83.03 m² | 2 | 2
