Fecha de Scraping,Título,Descripción
2024-06-23 16:06:43,"Casa en Arriendo, PASADENA, Bogotá D.C.",
2024-06-23 16:06:43,"Casa en Arriendo, San lucas, Envigado",$11.500.000 | 430 m² | 4 | 5
2024-06-23 16:06:43,"Casa en Arriendo, LA CASTELLANA, Bogotá D.C.",$11.500.000 | 430 m² | 4 | 5
2024-06-23 16:06:43,"Casa en Arriendo, ENVIGADO, Envigado",
2024-06-23 16:06:43,"Casa en Arriendo, Palmas   Envigado, Envigado",$10.500.000 | 274 m² | 3 | 4
2024-06-23 16:06:43,"Casa en Arriendo, Loma del Atravesado  Envigado, Envigado",$10.500.000 | 274 m² | 3 | 4
2024-06-23 16:06:43,"Casa en Arriendo, san Lucas  Envigado, Envigado",
2024-06-23 16:06:43,"Casa en Arriendo, Santa Ana Oriental, Bogotá D.C.",$6.500.000 | 160 m² | 3 | 4
2024-06-23 16:06:43,"Casa en Arriendo, RIONEGRO, Rionegro",$6.500.000 | 160 m² | 3 | 4
2024-06-23 16:06:43,"Casa en Arriendo, ENVIGADO, Envigado",
2024-06-23 16:06:43,"Casa en Arriendo, EL POBLADO, Medellín",$27.000.000 | 500 m² | 3 | 5
2024-06-23 16:06:43,"Casa en Arriendo, ENVIGADO, Envigado",$27.000.000 | 500 m² | 3 | 5
2024-06-23 16:06:43,"Casa en Arriendo, BELEN, Medellín",
2024-06-23 16:06:43,"Casa en Arriendo, LA CALLEJA, Envigado",$3.300.000 | 126 m² | 3 | 4
2024-06-23 16:06:43,"Casa en Arriendo, Envigado",$3.300.000 | 126 m² | 3 | 4
2024-06-23 16:06:43,"Casa en Arriendo, SAN SIMON, Bogotá D.C.",
2024-06-23 16:06:43,"Casa en Arriendo, ENVIGADO, Envigado",$15.500.000 | 426 m² | 3 | 4
2024-06-23 16:06:43,"Casa en Arriendo, Parcelación Pan de Azúcar   Vereda Yerbabuen…",$15.500.000 | 426 m² | 3 | 4
2024-06-23 16:06:43,"Casa en Arriendo, ALTOS DEL POBLADO, Medellín",
2024-06-23 16:06:43,"Casa en Arriendo, EL RETIRO, Retiro",$10.000.000 | 3385 m² | 3 | 5
2024-06-23 16:06:43,"Casa en Arriendo, LOS ANDES NOROCCIDENTE, Bogotá D.C.",$10.000.000 | 3385 m² | 3 | 5
2024-06-23 16:06:43,"Casa en Arriendo, PRADO VERANIEGO, Bogotá D.C.",
2024-06-23 16:06:43,"Casa en Arriendo, NIZA, Bogotá D.C.",$4.500.000 | 300 m² | 5 | 4
2024-06-23 16:06:43,"Casa en Arriendo, GUAYABAL, Medellín",$4.500.000 | 300 m² | 5 | 4
2024-06-23 16:06:43,"Casa en Arriendo, La Sebastiana, Envigado",
2024-06-23 16:06:43,"Casa en Arriendo, SANTA BARBARA, Bogotá D.C.",$4.800.000 | 115 m² | 3 | 4
2024-06-23 16:06:43,"Casa en Arriendo, EL POBLADO, Medellín",$4.800.000 | 115 m² | 3 | 4
2024-06-23 16:06:43,"Casa en Arriendo, EL RETIRO, Retiro",
2024-06-23 16:06:43,"Apartamento en Arriendo, Alameda Del Rio, Barranquilla",$20.000.000 | 400 m² | 4 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, cañaveral, Floridablanca",$20.000.000 | 400 m² | 4 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, CHICO NORTE III, Bogotá D.C.",
2024-06-23 16:06:43,"Apartamento en Arriendo, CHICO, Bogotá D.C.",$6.900.000 | 180 m² | 3 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, Virrey, Bogotá D.C.",$6.900.000 | 180 m² | 3 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, CHICO, Bogotá D.C.",
2024-06-23 16:06:43,"Apartamento en Arriendo, CHICO   LA CABRERA, Bogotá D.C.",$11.000.000 | 380 m² | 5 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO, Medellín",$11.000.000 | 380 m² | 5 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO LA CALERA, Medellín",
2024-06-23 16:06:43,"Apartamento en Arriendo, POBLADO LOMA DE ALEJANDRIA, Me…",$28.000.000 | 700 m² | 4 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, Loma del Esmeraldal, Envigado",$28.000.000 | 700 m² | 4 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, Santa Ana Oriental, Bogotá D.C.",
2024-06-23 16:06:43,"Apartamento en Arriendo, URBANIZACION LA FLORA, Cali",$5.000.000 | 400 m² | 4 | 3
2024-06-23 16:06:43,"Apartamento en Arriendo, LAS ROSALES, Bogotá D.C.",$5.000.000 | 400 m² | 4 | 3
2024-06-23 16:06:43,"Apartamento en Arriendo, CHICO ALTO, Bogotá D.C.",
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO LA CALERA, Medellín",$5.000.000 | 560 m² | 5 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, CONQUISTADORES, Medellín",$5.000.000 | 560 m² | 5 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, LA TOMATERA, Medellín",
2024-06-23 16:06:43,"Apartamento en Arriendo, BELEN LOMA DE LOS BERNAL, Mede…",$2.903.000 | 209 m² | 3 | 3
2024-06-23 16:06:43,"Apartamento en Arriendo, EL CHICO, Bogotá D.C.",$2.903.000 | 209 m² | 3 | 3
2024-06-23 16:06:43,"Apartamento en Arriendo, CALLEJA BAJA, Bogotá D.C.",
2024-06-23 16:06:43,"Apartamento en Arriendo, ROSALES BELMONTE, Bogotá D.C.",$5.500.000 | 200 m² | 4 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, MONTE ARROYO, Bogotá D.C.",$5.500.000 | 200 m² | 4 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, ENVIGADO, Envigado",
2024-06-23 16:06:43,"Apartamento en Arriendo, LALINDE, Medellín",$15.000.000 | 385 m² | 4 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, LAS ROSALES, Bogotá D.C.",$15.000.000 | 385 m² | 4 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, CASTROPOL, Medellín",
2024-06-23 16:06:43,"Apartamento en Arriendo, LAS ROSALES, Bogotá D.C.",$14.500.000 | 400 m² | 3 | 3
2024-06-23 16:06:43,"Apartamento en Arriendo, LAS PALMAS, Medellín",$14.500.000 | 400 m² | 3 | 3
2024-06-23 16:06:43,"Apartamento en Arriendo, SABANETA, Sabaneta",
2024-06-23 16:06:43,"Apartamento en Arriendo, SANTA PAULA, Bogotá D.C.",$7.000.000 | 200 m² | 3 | 3
2024-06-23 16:06:43,"Apartamento en Arriendo, PONTEVENDRA, Envigado",$7.000.000 | 200 m² | 3 | 3
2024-06-23 16:06:43,"Apartamento en Arriendo, RODEO ALTO, Medellín",
2024-06-23 16:06:43,"Apartamento en Arriendo, BATAN, Bogotá D.C.",$20.000.000 | 450 m² | 5 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, CHICO RESERVADO, Bogotá D.C.",$20.000.000 | 450 m² | 5 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, San Patricio, Bogotá D.C.",
2024-06-23 16:06:43,"Apartamento en Arriendo, BOSQUE MEDINA, Bogotá D.C.",$17.000.000 | 800 m² | 5 | 3
2024-06-23 16:06:43,"Apartamento en Arriendo, CABECERA DEL LLANO, Bucaramanga",$17.000.000 | 800 m² | 5 | 3
2024-06-23 16:06:43,"Apartamento en Arriendo, SANTA BARBARA, Bogotá D.C.",
2024-06-23 16:06:43,"Apartamento en Arriendo, CASTROPOL, Medellín",$10.800.000 | 170 m² | 3 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, Loma del Escobero, Envigado",$10.800.000 | 170 m² | 3 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO, Medellín",
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO, Medellín",$15.700.000 | 260 m² | 3 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, PRADERA DE POTOSI, La Calera",$15.700.000 | 260 m² | 3 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, LAS PALMAS, Medellín",
2024-06-23 16:06:43,"Apartaestudio en Arriendo, LALINDE, Medellín",$20.000.000 | 500 m² | 4 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO, Medellín",$20.000.000 | 500 m² | 4 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO, Medellín",
2024-06-23 16:06:43,"Apartamento en Arriendo, PEÑAS BLANCAS, Bogotá D.C.",$6.700.000 | 206 m² | 3 | 4
