Fecha de Scraping,Título,Descripción
2024-06-23 16:19:43,"Casa en Venta, Fagua, Chía",245 | 5 | 5
2024-06-23 16:19:43,"Casa en Venta, Santa Cecilia 5, Chía",123 | 3 | 2
2024-06-23 16:19:43,"Casa en Venta, Fagua, Chía",450
2024-06-23 16:19:43,"Casa en Venta, Cerritos, Pereira",$750.000.000 | 133 m² | 3 | 3
2024-06-23 16:19:43,"Casa en Venta, Calahorra, Cajicá",$750.000.000 | 133 m² | 3 | 3
2024-06-23 16:19:43,"Casa en Venta, Hacienda La Luna, Chía",
2024-06-23 16:19:43,"Casa en Venta, Suba, Bogotá D.C.",$1.200.000.000 | 295 m² | 3 | 5
2024-06-23 16:19:43,"Casa en Venta, La Moya, Cota (Incluye Siberia)",$1.200.000.000 | 295 m² | 3 | 5
2024-06-23 16:19:43,"Casa en Venta, Pance La Viga, Cali",
2024-06-23 16:19:43,"Casa en Venta, Palo Amarillo, Chía",$750.000.000 | 133 m² | 3 | 3
2024-06-23 16:19:43,"Casa en Venta, Armenia Circasia, Armenia",$750.000.000 | 133 m² | 3 | 3
2024-06-23 16:19:43,"Casa en Venta, Piedra Luna, Cajicá",
2024-06-23 16:19:43,"Apartamento en Venta, Pontevedra, Bogotá D.C.",$900.000.000 | 164 m² | 3 | 3
2024-06-23 16:19:43,"Casa en Venta, La Campiña, Barranquilla",$900.000.000 | 164 m² | 3 | 3
2024-06-23 16:19:43,"Casa en Venta, Vereda El Salitre, La Calera",
2024-06-23 16:19:43,"Apartamento en Venta, Madelena, Bogotá D.C.",$1.750.000.000 | 312 m² | 4 | 4
2024-06-23 16:19:43,"Casa en Venta, Cedro Salazar Usaquen, Bogotá D.C.",$1.750.000.000 | 312 m² | 4 | 4
2024-06-23 16:19:43,"Casa en Venta, Las Delicias, Barranquilla",
2024-06-23 16:19:43,"Casa en Venta, LA CAROLINA, Bogotá D.C.",$1.600.000.000 | 329 m² | 4 | 4
2024-06-23 16:19:43,"Casa en Venta, Villa Santos, Barranquilla",$1.600.000.000 | 329 m² | 4 | 4
2024-06-23 16:19:43,"Casa en Venta, Manga, Cartagena de Indias",
2024-06-23 16:19:43,"Apartamento en Venta, Ecohaus, Chía",$500.000.000 | 150 m² | 4 | 3
2024-06-23 16:19:43,"Casa en Venta, Via A Subachoque, Subachoque",$500.000.000 | 150 m² | 4 | 3
2024-06-23 16:19:43,"Casa en Venta, Country Club Villas, Puerto Colombia",
2024-06-23 16:19:43,"Casa en Venta, Estoraques Ii, Bucaramanga",$1.000.000.000 | 178.13 m² | 4 | 4
2024-06-23 16:19:43,"Casa en Venta, Bosque De Pinos Usaquen, Bogotá D.C.",$1.000.000.000 | 178.13 m² | 4 | 4
2024-06-23 16:19:43,"Apartamento en Venta, Valle De Luna, Chía",
